territori,any,locals,xifra_negoci,sous_salaris,inversio,personal_ocupat,vab_estimat
Canarias,2023,27194.0,15801205000.0,1638095000.0,340978000.0,101157.0,2596160352.8414297
Canarias,2024,25147.0,17887298000.0,1806812000.0,330152000.0,104345.0,3014637095.522915
Cantabria,2018,6165.0,3037852000.0,279117000.0,42144000.0,20624.0,587103015.5708033
Cantabria,2019,6189.0,3148435000.0,298113000.0,62808000.0,20718.0,615823150.330485
Cantabria,2020,6091.0,3208158000.0,280025000.0,59776000.0,20516.0,606247659.7600062
Cantabria,2021,5768.0,3516201000.0,297638000.0,56943000.0,20533.0,680680507.6801548
Cantabria,2022,5546.0,3748793000.0,318220000.0,35151000.0,20245.0,630367795.3427544
Cantabria,2023,5861.0,4234613000.0,338513000.0,34116000.0,20745.0,695752911.2638502
Cantabria,2024,5392.0,3769351000.0,349646000.0,36259000.0,19981.0,635267850.4403737
Castilla - La Mancha,2018,23521.0,7834546000.0,667660000.0,104855000.0,58608.0,1514124316.2037435
Castilla - La Mancha,2019,23563.0,8084480000.0,695669000.0,135599000.0,58279.0,1581296721.1912582
Castilla - La Mancha,2020,23044.0,8052689000.0,672258000.0,159314000.0,57805.0,1521721767.1402545
Castilla - La Mancha,2021,24828.0,9046478000.0,730707000.0,179239000.0,58643.0,1751254048.832064
Castilla - La Mancha,2022,24786.0,10211858000.0,807493000.0,156322000.0,59638.0,1717146402.538969
Castilla - La Mancha,2023,23163.0,10377030000.0,827158000.0,198806000.0,57457.0,1704960720.796047
Castilla - La Mancha,2024,23494.0,11198891000.0,925884000.0,283827000.0,59645.0,1887405925.5521832
Castilla y León,2018,27504.0,11541406000.0,991900000.0,209145000.0,79053.0,2230521521.959254
Castilla y León,2019,26759.0,11840147000.0,1054977000.0,183775000.0,78427.0,2315892380.155868
Castilla y León,2020,26455.0,11396009000.0,1003774000.0,226274000.0,77346.0,2153511076.0922527
Castilla y León,2021,29330.0,12256365000.0,1061350000.0,238075000.0,77561.0,2372637045.0703135
Castilla y León,2022,29330.0,13195561000.0,1141403000.0,193982000.0,78752.0,2218862630.153447
Castilla y León,2023,27982.0,13533134000.0,1196150000.0,256758000.0,76004.0,2223513076.40717
Castilla y León,2024,28795.0,14471499000.0,1312610000.0,195362000.0,79739.0,2438955157.6332417
Cataluña,2018,88889.0,42788489000.0,4427717000.0,937067000.0,302853.0,8269412375.460735
Cataluña,2019,88937.0,42551008000.0,4539684000.0,790794000.0,306222.0,8322832072.536885
Cataluña,2020,86114.0,39877483000.0,4253159000.0,684769000.0,297110.0,7535673350.835411
Cataluña,2021,92069.0,43183447000.0,4512659000.0,740873000.0,294192.0,8359627514.848855
Cataluña,2022,93567.0,50209103000.0,4910959000.0,749402000.0,297240.0,8442771197.088576
Cataluña,2023,89153.0,51463386000.0,5192712000.0,843729000.0,299409.0,8455507181.646887
Cataluña,2024,86901.0,56909165000.0,5693006000.0,1103490000.0,308553.0,9591190345.475002
Comunitat Valenciana,2018,60166.0,25246167000.0,2535112000.0,716098000.0,188607.0,4879138541.74071
Comunitat Valenciana,2019,59818.0,25857485000.0,2718481000.0,801353000.0,191737.0,5057635896.03192
Comunitat Valenciana,2020,57996.0,24076910000.0,2567140000.0,712198000.0,189179.0,4549829011.461496
Comunitat Valenciana,2021,64061.0,26352874000.0,2745162000.0,650830000.0,189781.0,5101496658.794862
Comunitat Valenciana,2022,61490.0,29645367000.0,2994557000.0,710285000.0,191127.0,4984933720.778087
Comunitat Valenciana,2023,57136.0,31801349000.0,3277155000.0,704446000.0,191058.0,5225006665.040638
Comunitat Valenciana,2024,58596.0,33673536000.0,3523525000.0,1560810000.0,198485.0,5675171888.064162
Extremadura,2018,14153.0,4508353000.0,345775000.0,70949000.0,33727.0,871295784.5074999
Extremadura,2019,14104.0,4490157000.0,367625000.0,65394000.0,34052.0,878259398.4689153
Extremadura,2020,13706.0,4386257000.0,340333000.0,53788000.0,32793.0,828873777.8363614
Extremadura,2021,14217.0,4812992000.0,361204000.0,87283000.0,32950.0,931718590.0409344
Extremadura,2022,15094.0,5234856000.0,402244000.0,51964000.0,33800.0,880252560.1324986
Extremadura,2023,13795.0,5250996000.0,413706000.0,52537000.0,32627.0,862746077.1586051
Extremadura,2024,12821.0,5663012000.0,437463000.0,46432000.0,32368.0,954416147.5697119
Galicia,2018,33360.0,13586468000.0,1245487000.0,239725000.0,99864.0,2625755413.284196
Galicia,2019,33154.0,13797626000.0,1302795000.0,218191000.0,100825.0,2698768597.8595104
Galicia,2020,32072.0,13859293000.0,1263241000.0,248893000.0,98554.0,2618999421.8421397
Galicia,2021,35165.0,15168206000.0,1340426000.0,220717000.0,97215.0,2936323082.9742584
Galicia,2022,34621.0,17001066000.0,1452379000.0,248825000.0,98683.0,2858766673.1389704
Galicia,2023,35332.0,17539483000.0,1505096000.0,258017000.0,99210.0,2881761889.294915
Galicia,2024,32193.0,17611766000.0,1642281000.0,257788000.0,99193.0,2968200289.460668
Madrid (Comunidad de),2018,63226.0,38316373000.0,3870211000.0,821141000.0,256879.0,7405119845.87653
Madrid (Comunidad de),2019,62823.0,40802590000.0,4182180000.0,766900000.0,263231.0,7980847473.568025
Madrid (Comunidad de),2020,60716.0,39421175000.0,3891464000.0,769347000.0,254014.0,7449444537.563194
Madrid (Comunidad de),2021,63162.0,42551918000.0,4194905000.0,861246000.0,250296.0,8237373559.419476
Madrid (Comunidad de),2022,61970.0,46892335000.0,4302040000.0,906228000.0,248976.0,7885049356.532591
Madrid (Comunidad de),2023,61235.0,50957461000.0,4695067000.0,1039449000.0,251424.0,8372382987.858419
Madrid (Comunidad de),2024,62747.0,53642094000.0,5145549000.0,855591000.0,264332.0,9040574292.099745
Murcia (Región de),2018,16762.0,6701412000.0,599241000.0,118576000.0,50462.0,1295131953.032066
Murcia (Región de),2019,16896.0,6775614000.0,631300000.0,137125000.0,51129.0,1325286994.6190214
Murcia (Región de),2020,17033.0,6873227000.0,615867000.0,125328000.0,50439.0,1298838082.0861342
Murcia (Región de),2021,17394.0,7377378000.0,661497000.0,147517000.0,49119.0,1428142874.1953049
Murcia (Región de),2022,17965.0,8870129000.0,725922000.0,141836000.0,51616.0,1491531717.578386
Murcia (Región de),2023,18907.0,9579077000.0,783884000.0,109960000.0,51580.0,1573855913.1544225
Murcia (Región de),2024,17047.0,9834592000.0,842047000.0,184067000.0,52702.0,1657473692.367226
Navarra (Comunidad Foral de),2018,7107.0,3464476000.0,299617000.0,58536000.0,22166.0,669553456.5122575
Navarra (Comunidad Foral de),2019,7046.0,3611378000.0,307312000.0,49539000.0,21838.0,706373222.567468
Navarra (Comunidad Foral de),2020,6939.0,3618136000.0,276889000.0,95067000.0,20919.0,683721463.43585
Navarra (Comunidad Foral de),2021,6567.0,3808780000.0,312494000.0,58177000.0,20441.0,737319141.8926336
Navarra (Comunidad Foral de),2022,6078.0,4336154000.0,351480000.0,59161000.0,18873.0,729133840.4778994
Navarra (Comunidad Foral de),2023,5983.0,4385496000.0,362665000.0,44874000.0,18683.0,720543201.7839576
Navarra (Comunidad Foral de),2024,6227.0,4300834000.0,404820000.0,36048000.0,19752.0,724841377.277116
País Vasco,2018,24068.0,11770846000.0,1097469000.0,229966000.0,79688.0,2274863680.791404
País Vasco,2019,22865.0,11622329000.0,1124850000.0,183811000.0,77143.0,2273287922.0810833
País Vasco,2020,23149.0,11347288000.0,1090432000.0,220996000.0,76790.0,2144304237.7036297
País Vasco,2021,21266.0,11645916000.0,1130711000.0,228065000.0,71343.0,2254463841.8794713
País Vasco,2022,19237.0,12495520000.0,1262423000.0,216093000.0,62627.0,2101149194.9705665
País Vasco,2023,20138.0,12591059000.0,1243870000.0,173969000.0,62920.0,2068728820.1176596
País Vasco,2024,18563.0,14032781000.0,1350155000.0,187029000.0,64699.0,2365015786.9539127
Rioja (La),2018,3599.0,1540930000.0,126437000.0,24163000.0,10051.0,297804056.8742381
Rioja (La),2019,3725.0,1580870000.0,136722000.0,19828000.0,10321.0,309212781.48126096
Rioja (La),2020,4042.0,1723641000.0,132261000.0,49582000.0,10911.0,325717537.1401274
Rioja (La),2021,3142.0,1594548000.0,120687000.0,47895000.0,9082.0,308679094.89826536
Rioja (La),2022,2405.0,1778528000.0,155241000.0,19654000.0,9203.0,299063398.3565799
Rioja (La),2023,2673.0,1734927000.0,154746000.0,18875000.0,9211.0,285050962.4091405
Rioja (La),2024,2609.0,1861844000.0,155967000.0,13489000.0,9234.0,313786016.6737741
espanya,2018,544028.0,239601768000.0,23155054000.0,4979701000.0,1733179.0,46306048000.0
espanya,2019,540883.0,245011346000.0,24444400000.0,4770022000.0,1750589.0,47923383827.3404
espanya,2020,527096.0,234184105000.0,22805567000.0,4860610000.0,1701672.0,44253919417.07409
espanya,2021,552988.0,254672877000.0,24438780000.0,5012889000.0,1679865.0,49300612567.007866
espanya,2022,551089.0,286862152000.0,26402594000.0,5332867000.0,1698387.0,48236502341.82525
espanya,2023,535917.0,301778875000.0,28111108000.0,5213112000.0,1694027.0,49582696420.9432
espanya,2024,524869.0,320629353000.0,30699397000.0,6228387000.0,1747719.0,54037291795.961105
